exp;step;id;state
test2;1;0;succeptible
test2;1;1;succeptible
test2;1;2;succeptible
test2;1;3;succeptible
test2;1;4;succeptible
test2;1;5;succeptible
test2;1;6;succeptible
test2;1;7;succeptible
test2;1;8;succeptible
test2;1;9;succeptible
test2;1;10;succeptible
test2;1;11;succeptible
test2;1;12;succeptible
test2;1;13;succeptible
test2;1;14;succeptible
test2;1;15;infected
test2;1;16;succeptible
test2;1;17;succeptible
test2;1;18;succeptible
test2;1;19;succeptible
test2;1;20;succeptible
test2;1;21;succeptible
test2;1;22;succeptible
test2;1;23;succeptible
test2;1;24;succeptible
test2;1;25;succeptible
test2;1;26;succeptible
test2;1;27;succeptible
test2;1;28;succeptible
test2;1;29;succeptible
test2;2;0;succeptible
test2;2;1;succeptible
test2;2;2;succeptible
test2;2;3;succeptible
test2;2;4;succeptible
test2;2;5;succeptible
test2;2;6;succeptible
test2;2;7;succeptible
test2;2;8;succeptible
test2;2;9;succeptible
test2;2;10;succeptible
test2;2;11;succeptible
test2;2;12;succeptible
test2;2;13;succeptible
test2;2;14;succeptible
test2;2;15;infected
test2;2;16;succeptible
test2;2;17;succeptible
test2;2;18;succeptible
test2;2;19;succeptible
test2;2;20;succeptible
test2;2;21;succeptible
test2;2;22;succeptible
test2;2;23;succeptible
test2;2;24;succeptible
test2;2;25;succeptible
test2;2;26;succeptible
test2;2;27;succeptible
test2;2;28;succeptible
test2;2;29;succeptible
test2;3;0;succeptible
test2;3;1;succeptible
test2;3;2;succeptible
test2;3;3;succeptible
test2;3;4;succeptible
test2;3;5;succeptible
test2;3;6;succeptible
test2;3;7;succeptible
test2;3;8;succeptible
test2;3;9;succeptible
test2;3;10;succeptible
test2;3;11;succeptible
test2;3;12;succeptible
test2;3;13;succeptible
test2;3;14;succeptible
test2;3;15;infected
test2;3;16;succeptible
test2;3;17;succeptible
test2;3;18;succeptible
test2;3;19;succeptible
test2;3;20;succeptible
test2;3;21;succeptible
test2;3;22;succeptible
test2;3;23;succeptible
test2;3;24;succeptible
test2;3;25;succeptible
test2;3;26;succeptible
test2;3;27;succeptible
test2;3;28;succeptible
test2;3;29;succeptible
test2;4;0;succeptible
test2;4;1;succeptible
test2;4;2;succeptible
test2;4;3;succeptible
test2;4;4;succeptible
test2;4;5;succeptible
test2;4;6;succeptible
test2;4;7;succeptible
test2;4;8;succeptible
test2;4;9;succeptible
test2;4;10;succeptible
test2;4;11;succeptible
test2;4;12;succeptible
test2;4;13;succeptible
test2;4;14;succeptible
test2;4;15;infected
test2;4;16;succeptible
test2;4;17;succeptible
test2;4;18;succeptible
test2;4;19;succeptible
test2;4;20;succeptible
test2;4;21;succeptible
test2;4;22;succeptible
test2;4;23;succeptible
test2;4;24;succeptible
test2;4;25;succeptible
test2;4;26;succeptible
test2;4;27;succeptible
test2;4;28;succeptible
test2;4;29;succeptible
test2;5;0;succeptible
test2;5;1;succeptible
test2;5;2;succeptible
test2;5;3;succeptible
test2;5;4;succeptible
test2;5;5;succeptible
test2;5;6;succeptible
test2;5;7;succeptible
test2;5;8;succeptible
test2;5;9;succeptible
test2;5;10;succeptible
test2;5;11;succeptible
test2;5;12;succeptible
test2;5;13;succeptible
test2;5;14;succeptible
test2;5;15;infected
test2;5;16;succeptible
test2;5;17;succeptible
test2;5;18;succeptible
test2;5;19;succeptible
test2;5;20;succeptible
test2;5;21;succeptible
test2;5;22;succeptible
test2;5;23;succeptible
test2;5;24;succeptible
test2;5;25;succeptible
test2;5;26;succeptible
test2;5;27;succeptible
test2;5;28;succeptible
test2;5;29;succeptible
test2;6;0;succeptible
test2;6;1;succeptible
test2;6;2;succeptible
test2;6;3;succeptible
test2;6;4;succeptible
test2;6;5;succeptible
test2;6;6;succeptible
test2;6;7;succeptible
test2;6;8;succeptible
test2;6;9;succeptible
test2;6;10;succeptible
test2;6;11;succeptible
test2;6;12;succeptible
test2;6;13;succeptible
test2;6;14;succeptible
test2;6;15;infected
test2;6;16;succeptible
test2;6;17;succeptible
test2;6;18;succeptible
test2;6;19;succeptible
test2;6;20;succeptible
test2;6;21;succeptible
test2;6;22;succeptible
test2;6;23;succeptible
test2;6;24;succeptible
test2;6;25;succeptible
test2;6;26;succeptible
test2;6;27;succeptible
test2;6;28;succeptible
test2;6;29;succeptible
test2;7;0;succeptible
test2;7;1;succeptible
test2;7;2;succeptible
test2;7;3;succeptible
test2;7;4;succeptible
test2;7;5;succeptible
test2;7;6;succeptible
test2;7;7;succeptible
test2;7;8;succeptible
test2;7;9;succeptible
test2;7;10;succeptible
test2;7;11;succeptible
test2;7;12;succeptible
test2;7;13;succeptible
test2;7;14;succeptible
test2;7;15;infected
test2;7;16;succeptible
test2;7;17;succeptible
test2;7;18;succeptible
test2;7;19;succeptible
test2;7;20;succeptible
test2;7;21;succeptible
test2;7;22;succeptible
test2;7;23;succeptible
test2;7;24;succeptible
test2;7;25;succeptible
test2;7;26;succeptible
test2;7;27;succeptible
test2;7;28;succeptible
test2;7;29;succeptible
test2;8;0;succeptible
test2;8;1;succeptible
test2;8;2;succeptible
test2;8;3;succeptible
test2;8;4;succeptible
test2;8;5;succeptible
test2;8;6;succeptible
test2;8;7;succeptible
test2;8;8;succeptible
test2;8;9;succeptible
test2;8;10;succeptible
test2;8;11;succeptible
test2;8;12;succeptible
test2;8;13;succeptible
test2;8;14;succeptible
test2;8;15;infected
test2;8;16;succeptible
test2;8;17;succeptible
test2;8;18;succeptible
test2;8;19;succeptible
test2;8;20;succeptible
test2;8;21;succeptible
test2;8;22;succeptible
test2;8;23;succeptible
test2;8;24;succeptible
test2;8;25;succeptible
test2;8;26;succeptible
test2;8;27;succeptible
test2;8;28;succeptible
test2;8;29;succeptible
test2;9;0;succeptible
test2;9;1;succeptible
test2;9;2;succeptible
test2;9;3;succeptible
test2;9;4;succeptible
test2;9;5;succeptible
test2;9;6;succeptible
test2;9;7;succeptible
test2;9;8;succeptible
test2;9;9;succeptible
test2;9;10;succeptible
test2;9;11;succeptible
test2;9;12;succeptible
test2;9;13;succeptible
test2;9;14;succeptible
test2;9;15;infected
test2;9;16;succeptible
test2;9;17;succeptible
test2;9;18;succeptible
test2;9;19;succeptible
test2;9;20;succeptible
test2;9;21;succeptible
test2;9;22;succeptible
test2;9;23;succeptible
test2;9;24;succeptible
test2;9;25;succeptible
test2;9;26;succeptible
test2;9;27;succeptible
test2;9;28;succeptible
test2;9;29;succeptible
test2;10;0;succeptible
test2;10;1;succeptible
test2;10;2;succeptible
test2;10;3;succeptible
test2;10;4;succeptible
test2;10;5;succeptible
test2;10;6;succeptible
test2;10;7;succeptible
test2;10;8;succeptible
test2;10;9;succeptible
test2;10;10;succeptible
test2;10;11;succeptible
test2;10;12;succeptible
test2;10;13;succeptible
test2;10;14;succeptible
test2;10;15;infected
test2;10;16;succeptible
test2;10;17;succeptible
test2;10;18;succeptible
test2;10;19;succeptible
test2;10;20;succeptible
test2;10;21;succeptible
test2;10;22;succeptible
test2;10;23;succeptible
test2;10;24;succeptible
test2;10;25;succeptible
test2;10;26;succeptible
test2;10;27;succeptible
test2;10;28;succeptible
test2;10;29;succeptible
test2;11;0;succeptible
test2;11;1;succeptible
test2;11;2;succeptible
test2;11;3;succeptible
test2;11;4;succeptible
test2;11;5;succeptible
test2;11;6;succeptible
test2;11;7;succeptible
test2;11;8;succeptible
test2;11;9;succeptible
test2;11;10;succeptible
test2;11;11;succeptible
test2;11;12;succeptible
test2;11;13;succeptible
test2;11;14;succeptible
test2;11;15;infected
test2;11;16;succeptible
test2;11;17;succeptible
test2;11;18;succeptible
test2;11;19;succeptible
test2;11;20;succeptible
test2;11;21;succeptible
test2;11;22;succeptible
test2;11;23;succeptible
test2;11;24;succeptible
test2;11;25;succeptible
test2;11;26;succeptible
test2;11;27;succeptible
test2;11;28;succeptible
test2;11;29;succeptible
test2;12;0;succeptible
test2;12;1;succeptible
test2;12;2;succeptible
test2;12;3;succeptible
test2;12;4;succeptible
test2;12;5;succeptible
test2;12;6;succeptible
test2;12;7;succeptible
test2;12;8;succeptible
test2;12;9;succeptible
test2;12;10;succeptible
test2;12;11;succeptible
test2;12;12;succeptible
test2;12;13;succeptible
test2;12;14;succeptible
test2;12;15;infected
test2;12;16;succeptible
test2;12;17;succeptible
test2;12;18;succeptible
test2;12;19;succeptible
test2;12;20;succeptible
test2;12;21;succeptible
test2;12;22;succeptible
test2;12;23;succeptible
test2;12;24;succeptible
test2;12;25;succeptible
test2;12;26;succeptible
test2;12;27;succeptible
test2;12;28;succeptible
test2;12;29;succeptible
test2;13;0;succeptible
test2;13;1;succeptible
test2;13;2;succeptible
test2;13;3;succeptible
test2;13;4;succeptible
test2;13;5;succeptible
test2;13;6;succeptible
test2;13;7;succeptible
test2;13;8;succeptible
test2;13;9;succeptible
test2;13;10;succeptible
test2;13;11;succeptible
test2;13;12;succeptible
test2;13;13;succeptible
test2;13;14;succeptible
test2;13;15;infected
test2;13;16;succeptible
test2;13;17;succeptible
test2;13;18;succeptible
test2;13;19;succeptible
test2;13;20;succeptible
test2;13;21;succeptible
test2;13;22;succeptible
test2;13;23;succeptible
test2;13;24;succeptible
test2;13;25;succeptible
test2;13;26;succeptible
test2;13;27;succeptible
test2;13;28;succeptible
test2;13;29;succeptible
test2;14;0;succeptible
test2;14;1;succeptible
test2;14;2;succeptible
test2;14;3;succeptible
test2;14;4;succeptible
test2;14;5;succeptible
test2;14;6;succeptible
test2;14;7;succeptible
test2;14;8;succeptible
test2;14;9;succeptible
test2;14;10;succeptible
test2;14;11;succeptible
test2;14;12;succeptible
test2;14;13;succeptible
test2;14;14;succeptible
test2;14;15;infected
test2;14;16;succeptible
test2;14;17;succeptible
test2;14;18;succeptible
test2;14;19;succeptible
test2;14;20;succeptible
test2;14;21;succeptible
test2;14;22;succeptible
test2;14;23;succeptible
test2;14;24;succeptible
test2;14;25;succeptible
test2;14;26;succeptible
test2;14;27;succeptible
test2;14;28;succeptible
test2;14;29;succeptible
test2;15;0;succeptible
test2;15;1;succeptible
test2;15;2;succeptible
test2;15;3;succeptible
test2;15;4;succeptible
test2;15;5;succeptible
test2;15;6;succeptible
test2;15;7;succeptible
test2;15;8;succeptible
test2;15;9;succeptible
test2;15;10;succeptible
test2;15;11;succeptible
test2;15;12;succeptible
test2;15;13;succeptible
test2;15;14;succeptible
test2;15;15;infected
test2;15;16;succeptible
test2;15;17;succeptible
test2;15;18;succeptible
test2;15;19;succeptible
test2;15;20;succeptible
test2;15;21;succeptible
test2;15;22;succeptible
test2;15;23;succeptible
test2;15;24;succeptible
test2;15;25;succeptible
test2;15;26;succeptible
test2;15;27;succeptible
test2;15;28;succeptible
test2;15;29;succeptible
test2;16;0;succeptible
test2;16;1;succeptible
test2;16;2;succeptible
test2;16;3;succeptible
test2;16;4;succeptible
test2;16;5;succeptible
test2;16;6;succeptible
test2;16;7;succeptible
test2;16;8;succeptible
test2;16;9;succeptible
test2;16;10;succeptible
test2;16;11;succeptible
test2;16;12;succeptible
test2;16;13;succeptible
test2;16;14;succeptible
test2;16;15;infected
test2;16;16;succeptible
test2;16;17;succeptible
test2;16;18;succeptible
test2;16;19;succeptible
test2;16;20;succeptible
test2;16;21;succeptible
test2;16;22;succeptible
test2;16;23;succeptible
test2;16;24;succeptible
test2;16;25;succeptible
test2;16;26;succeptible
test2;16;27;succeptible
test2;16;28;succeptible
test2;16;29;succeptible
test2;17;0;succeptible
test2;17;1;succeptible
test2;17;2;succeptible
test2;17;3;succeptible
test2;17;4;succeptible
test2;17;5;succeptible
test2;17;6;succeptible
test2;17;7;succeptible
test2;17;8;succeptible
test2;17;9;succeptible
test2;17;10;succeptible
test2;17;11;succeptible
test2;17;12;succeptible
test2;17;13;succeptible
test2;17;14;succeptible
test2;17;15;infected
test2;17;16;succeptible
test2;17;17;succeptible
test2;17;18;succeptible
test2;17;19;succeptible
test2;17;20;succeptible
test2;17;21;succeptible
test2;17;22;succeptible
test2;17;23;succeptible
test2;17;24;succeptible
test2;17;25;succeptible
test2;17;26;succeptible
test2;17;27;succeptible
test2;17;28;succeptible
test2;17;29;succeptible
test2;18;0;succeptible
test2;18;1;succeptible
test2;18;2;succeptible
test2;18;3;succeptible
test2;18;4;succeptible
test2;18;5;succeptible
test2;18;6;succeptible
test2;18;7;succeptible
test2;18;8;succeptible
test2;18;9;succeptible
test2;18;10;succeptible
test2;18;11;succeptible
test2;18;12;succeptible
test2;18;13;succeptible
test2;18;14;succeptible
test2;18;15;infected
test2;18;16;succeptible
test2;18;17;succeptible
test2;18;18;succeptible
test2;18;19;succeptible
test2;18;20;succeptible
test2;18;21;succeptible
test2;18;22;succeptible
test2;18;23;succeptible
test2;18;24;succeptible
test2;18;25;succeptible
test2;18;26;succeptible
test2;18;27;succeptible
test2;18;28;succeptible
test2;18;29;succeptible
test2;19;0;succeptible
test2;19;1;succeptible
test2;19;2;succeptible
test2;19;3;succeptible
test2;19;4;succeptible
test2;19;5;succeptible
test2;19;6;succeptible
test2;19;7;succeptible
test2;19;8;succeptible
test2;19;9;succeptible
test2;19;10;succeptible
test2;19;11;succeptible
test2;19;12;succeptible
test2;19;13;succeptible
test2;19;14;succeptible
test2;19;15;infected
test2;19;16;succeptible
test2;19;17;succeptible
test2;19;18;succeptible
test2;19;19;succeptible
test2;19;20;succeptible
test2;19;21;succeptible
test2;19;22;succeptible
test2;19;23;succeptible
test2;19;24;succeptible
test2;19;25;succeptible
test2;19;26;succeptible
test2;19;27;succeptible
test2;19;28;succeptible
test2;19;29;succeptible
test2;20;0;succeptible
test2;20;1;succeptible
test2;20;2;succeptible
test2;20;3;succeptible
test2;20;4;succeptible
test2;20;5;succeptible
test2;20;6;succeptible
test2;20;7;succeptible
test2;20;8;succeptible
test2;20;9;succeptible
test2;20;10;succeptible
test2;20;11;succeptible
test2;20;12;succeptible
test2;20;13;succeptible
test2;20;14;succeptible
test2;20;15;infected
test2;20;16;succeptible
test2;20;17;succeptible
test2;20;18;succeptible
test2;20;19;succeptible
test2;20;20;succeptible
test2;20;21;succeptible
test2;20;22;succeptible
test2;20;23;succeptible
test2;20;24;succeptible
test2;20;25;succeptible
test2;20;26;succeptible
test2;20;27;succeptible
test2;20;28;succeptible
test2;20;29;succeptible
test2;21;0;succeptible
test2;21;1;succeptible
test2;21;2;succeptible
test2;21;3;succeptible
test2;21;4;succeptible
test2;21;5;succeptible
test2;21;6;succeptible
test2;21;7;succeptible
test2;21;8;succeptible
test2;21;9;succeptible
test2;21;10;succeptible
test2;21;11;succeptible
test2;21;12;succeptible
test2;21;13;succeptible
test2;21;14;succeptible
test2;21;15;infected
test2;21;16;succeptible
test2;21;17;succeptible
test2;21;18;succeptible
test2;21;19;succeptible
test2;21;20;succeptible
test2;21;21;succeptible
test2;21;22;succeptible
test2;21;23;succeptible
test2;21;24;succeptible
test2;21;25;succeptible
test2;21;26;succeptible
test2;21;27;succeptible
test2;21;28;succeptible
test2;21;29;succeptible
test2;22;0;succeptible
test2;22;1;succeptible
test2;22;2;succeptible
test2;22;3;succeptible
test2;22;4;succeptible
test2;22;5;succeptible
test2;22;6;succeptible
test2;22;7;succeptible
test2;22;8;succeptible
test2;22;9;succeptible
test2;22;10;succeptible
test2;22;11;succeptible
test2;22;12;succeptible
test2;22;13;succeptible
test2;22;14;succeptible
test2;22;15;infected
test2;22;16;succeptible
test2;22;17;succeptible
test2;22;18;succeptible
test2;22;19;succeptible
test2;22;20;succeptible
test2;22;21;succeptible
test2;22;22;succeptible
test2;22;23;succeptible
test2;22;24;succeptible
test2;22;25;succeptible
